,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,kothapet,19.3333,79.4833,59.79,32,0,3.09,IN,1643486034
280,neyshabur,36.2133,58.7958,38.8,35,100,1.43,IR,1643486035
281,gorontalo,0.5412,123.0595,74.12,94,99,3.33,ID,1643486035
282,vostok,46.4856,135.8833,-17.19,99,100,3.8,RU,1643485959
283,huaura,-11.07,-77.5994,75.43,70,74,11.18,PE,1643486036
284,mayumba,-3.432,10.6554,77.86,89,73,3.96,GA,1643486036
285,sangar,63.9242,127.4739,-35.21,99,88,2.35,RU,1643486036
286,oksfjord,70.2396,22.3479,16.72,73,7,6.22,NO,1643486037
287,arman,59.7,150.1667,6.93,81,100,14.41,RU,1643486037
288,genhe,50.7833,121.5167,-17.88,100,28,2.08,CN,1643486038
289,lata,40.1629,-8.3327,57.61,51,0,5.06,PT,1643486038
290,yulara,-25.2406,130.9889,80.44,65,100,14.97,AU,1643486039
291,tsimlyansk,47.6461,42.1019,33.82,88,100,16.24,RU,1643486039
292,gidole,5.65,37.3667,64.53,22,21,3.02,ET,1643486039
293,havre-saint-pierre,50.2334,-63.5986,6.8,60,75,18.41,CA,1643486011
294,qui nhon,13.7667,109.2333,71.24,86,100,6.15,VN,1643486040
295,albury,-36.0833,146.9167,68.74,100,100,3.44,AU,1643486040
296,saldanha,-33.0117,17.9442,69.85,85,0,18.48,ZA,1643486041
297,aksu,41.1231,80.2644,26.98,46,100,2.3,CN,1643486041
298,asau,46.4333,26.4,27.52,89,79,7.61,RO,1643486042
299,juegang,32.3174,121.1855,36.91,87,100,8.99,CN,1643486042
300,mus,39.0,41.75,4.59,99,93,3.4,TR,1643486102
301,tromso,69.6496,18.957,23.02,54,0,6.91,NO,1643486103
302,adrar,20.5022,-10.0711,79.77,11,100,10.56,MR,1643486103
303,matehuala,23.65,-100.65,54.63,60,88,10.83,MX,1643486103
304,lima,-12.0432,-77.0282,75.45,85,0,1.99,PE,1643486104
305,jardim,-21.4803,-56.1381,90.57,44,51,2.24,BR,1643486104
306,yerbogachen,61.2767,108.0108,-25.01,100,80,3.09,RU,1643486105
307,naryan-mar,67.6713,53.087,12.99,94,100,14.74,RU,1643486105
308,tonantins,-2.8731,-67.8022,93.99,40,80,3.49,BR,1643486105
309,boksburg,-26.212,28.2596,65.77,82,100,5.86,ZA,1643485984
310,abrau-dyurso,44.69,37.59,35.06,91,100,9.75,RU,1643486106
311,yarmouth,41.7057,-70.2286,27.97,96,100,35.32,US,1643486106
312,la ronge,55.1001,-105.2842,8.85,66,100,2.3,CA,1643486106
313,killybegs,54.6333,-8.45,44.31,65,88,10.33,IE,1643486107
314,lavrentiya,65.5833,-171.0,-4.52,84,4,3.89,RU,1643486107
315,waipawa,-41.4122,175.5153,65.03,63,17,4.14,NZ,1643486108
316,carauari,-4.8828,-66.8958,79.09,87,100,1.5,BR,1643486108
317,houston,29.7633,-95.3633,65.14,35,3,1.99,US,1643485755
318,aquidauana,-20.4711,-55.7872,83.03,80,21,3.27,BR,1643486108
319,waslala,13.2333,-85.3833,86.34,36,4,9.13,NI,1643486109
320,sarangani,5.4033,125.4636,80.8,75,94,6.98,PH,1643486109
321,amazar,53.858,120.875,-10.5,95,7,4.38,RU,1643486109
322,bad windsheim,49.5,10.4167,43.77,98,100,21.85,DE,1643486110
323,hammerfest,70.6634,23.6821,16.25,86,40,0.0,NO,1643486110
324,terrace bay,48.7834,-87.1,17.22,84,100,2.21,CA,1643485959
325,kalmunai,7.4167,81.8167,77.09,84,24,1.34,LK,1643486111
326,alice springs,-23.7,133.8833,74.75,94,75,10.36,AU,1643486111
327,sisimiut,66.9395,-53.6735,9.19,90,100,29.71,GL,1643486111
328,aswan,24.0934,32.907,56.5,30,0,8.05,EG,1643486112
329,isla vista,34.4133,-119.861,69.35,31,100,1.01,US,1643486112
330,metro,-5.1131,105.3067,75.07,92,100,3.06,ID,1643486113
331,jimo,36.3897,120.4622,20.98,63,99,2.24,CN,1643486113
332,leninskoye,41.7589,69.3864,31.93,78,81,5.03,KZ,1643486113
333,raudeberg,61.9875,5.1352,39.87,95,100,46.8,NO,1643486114
334,lashio,22.9333,97.75,45.93,80,0,1.19,MM,1643486114
335,goure,13.9835,10.2704,69.03,12,0,10.16,NE,1643486115
336,kutum,14.2,24.6667,56.66,16,29,10.07,SD,1643486115
337,sorland,67.667,12.6934,32.68,77,100,16.4,NO,1643486115
338,lasa,46.6166,10.7002,34.29,60,5,8.63,IT,1643486116
339,moindou,-21.6924,165.677,75.15,84,60,7.16,NC,1643486116
340,russell,32.3502,-85.1999,42.4,21,0,13.8,US,1643486116
341,cerignola,41.264,15.9005,48.56,70,0,7.23,IT,1643486117
342,mildura,-34.2,142.15,67.96,77,0,10.36,AU,1643486117
343,camopi,3.1655,-52.3158,76.17,95,75,3.13,GF,1643486118
344,mao,39.8885,4.2658,45.16,93,0,5.75,ES,1643486118
345,pedasi,7.5333,-80.0333,81.64,69,7,13.24,PA,1643486118
346,pilot butte,50.4668,-104.4178,24.78,78,40,8.05,CA,1643486119
347,guzelyurt,38.2772,34.3719,-1.41,67,100,4.59,TR,1643486119
348,haines junction,60.7522,-137.5108,12.15,67,99,12.66,CA,1643486119
349,erenhot,43.6475,111.9767,6.8,88,100,7.94,CN,1643486120
350,luba,3.4568,8.5547,80.49,77,83,8.41,GQ,1643486180
351,dire dawa,9.5931,41.8661,65.46,53,7,1.21,ET,1643486180
352,kendari,-3.945,122.4989,75.27,91,100,2.82,ID,1643486181
353,padang,-0.9492,100.3543,76.91,90,77,3.09,ID,1643486181
354,puro,12.4841,123.3827,77.86,83,91,3.2,PH,1643486181
355,oga,46.4631,10.347,27.68,62,3,6.53,IT,1643486182
356,te anau,-45.4167,167.7167,57.4,89,100,1.74,NZ,1643486182
357,umm lajj,25.0213,37.2685,63.66,48,0,11.54,SA,1643486183
358,korla,41.7597,86.1469,23.58,55,100,4.76,CN,1643486183
359,kananga,-5.8958,22.4178,70.88,88,100,0.31,CD,1643486183
360,pouebo,-20.4,164.5667,78.66,84,13,3.94,NC,1643486184
361,kashin,57.3592,37.6081,7.61,99,99,2.75,RU,1643486184
362,sao paulo de olivenca,-3.3783,-68.8725,93.43,37,53,5.5,BR,1643486184
363,narsaq,60.9167,-46.05,9.32,94,99,3.78,GL,1643486185
364,dera ghazi khan,30.0561,70.6348,56.71,33,17,6.04,PK,1643486185
